feature_name,value,data_type,source_pack,source_file,notes
narrow_primary_field_of_education,"Other Creative Arts",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"CREATIVE ARTS, n.f.d.",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Pharmacy",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Optical Science",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"HEALTH, n.f.d.",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Language and Literature",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Rehabilitation Therapies",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Mathematical Sciences",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Biological Sciences",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Electrical and Electronic Engineering and Technology",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Political Science and Policy Studies",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Computer Science",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Performing Arts",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Civil Engineering",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Mechanical and Industrial Engineering and Technology",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
narrow_primary_field_of_education,"Manufacturing Engineering and Technology",string,industry_partner_pack_1,narrow_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Business and Management, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Other Engineering and Related Technologies, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Nursing, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Information Technology, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Psychology",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"INFORMATION TECHNOLOGY, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"MANAGEMENT AND COMMERCE, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Law, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Not applicable",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Building, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Teacher Education: Secondary",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Teacher Education, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Architecture",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Architecture and Urban Environment, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Medical Science",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Natural and Physical Sciences, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Communication and Media Studies, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Valuation",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Teacher Education: Primary",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Management and Commerce, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Other Education, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Fine Arts",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Human Movement",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Social Work",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Business and Management, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Justice and Law Enforcement, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Paramedical Studies",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Radiography",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Graphic and Design Studies, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Creative Arts, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Engineering and Related Technologies, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"CREATIVE ARTS, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Pharmacy, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Nursing, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Optometry",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Teacher Education: Early Childhood",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Teacher Education, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Public Health, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Project Management",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Public Health, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Health, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Nutrition and Dietetics",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Business Management",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"HEALTH, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"English Language",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Podiatry",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Mathematics",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Legal Practice",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Communication and Media Studies, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Police Studies",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Human Welfare Studies and Services, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Genetics",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Other Natural and Physical Sciences, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Policy Studies",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Occupational Health and Safety",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Counselling",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Artificial Intelligence",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Electrical Engineering",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Care for the Aged",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Environmental Health",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Drama and Theatre Studies",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Graphic and Design Studies, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Interior and Environmental Design",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Civil Engineering, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Security Science",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Building Construction Management",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Mechanical and Industrial Engineering and Technology, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Electrical and Electronic Engineering and Technology, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Manufacturing Engineering and Technology, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Urban Design and Regional Planning",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Health Promotion",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Architecture and Urban Environment, n.e.c.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Water and Sanitary Engineering",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Transport Engineering",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Mathematical Sciences, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Landscape Architecture",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
detailed_primary_field_of_education,"Electrical and Electronic Engineering and Technology, n.f.d.",string,industry_partner_pack_1,detailed_primary_fields_of_education_2025.csv,
