feature_name,value,weight,data_type,source_pack,source_file,notes
teaching_period,6 Week Teaching Period - 2,2941,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,6 Week Teaching Period - 3,2406,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,6 Week Teaching Period - 4,1296,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,6 Week Teaching Period - 5,702,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,6 Week Teaching Period - 6,192,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College 1,3697,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College 2,3999,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College 5 Week TP - 1,155,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College 5 Week TP - 2,302,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College 5 Week TP - 3,175,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College 5 Week TP - 4,240,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College 5 Week TP - 5,189,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College 5 Week TP - 6,190,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College 5 Week TP - 7,259,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College 5 Week TP - 8,208,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College 5 Week TP - 9,197,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,College Summer,2121,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Exchange - 1,368,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Exchange - 2,587,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 01A,406,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 02A,1410,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 02B,98,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 03A,2831,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 03B,46,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 04A,2284,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 04B,97,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 05A,2068,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 05B,87,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 06A,2390,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 06B,109,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 07A,1585,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 08A,3972,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 08B,120,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 09A,4477,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 09B,30,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 10A,4173,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 10B,77,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 11A,2375,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 11B,56,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 12A,720,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - 12B,51,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - A,630,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - AB,80,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Flexible Period - B,1315,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Research Period 1,4525,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Research Period 2,4566,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Semester 1,95121,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Semester 1 - 5 Week A,1419,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Semester 1 - 5 Week B,1255,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Semester 1 - 6 Week A,4172,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Semester 1 - 6 Week B,4744,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Semester 2,90599,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Semester 2 - 5 Week C,1607,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Semester 2 - 5 Week D,1415,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Semester 2 - 6 Week C,4712,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Semester 2 - 6 Week D,4859,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session 1,3635,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session 2,3757,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session 3,3934,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session 4,4085,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session-1A,1091,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session-1B,1055,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session-2A,929,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session-2B,749,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session-3A,1119,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session-3B,1142,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session-4A,900,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Session-4B,767,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Summer,10659,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Summer 1,338,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
teaching_period,Summer 2,1404,string,industry_partner_pack_1,headcount_by_teaching_period.csv,
international_domestic_student,Domestic,100665,string,industry_partner_pack_1,demographic_domestic_international_by_course.csv,
international_domestic_student,International,30191,string,industry_partner_pack_1,demographic_domestic_international_by_course.csv,
indigenous_status,First Nations,2333,string,industry_partner_pack_1,demographic_indigenous_status_course.csv,
indigenous_status,Non-Indigenous / Not stated,128523,string,industry_partner_pack_1,demographic_indigenous_status_course.csv,
attendance_mode_group,On-campus,106517,string,industry_partner_pack_1,demographic_attendance_course.csv,
attendance_mode_group,Online,61955,string,industry_partner_pack_1,demographic_attendance_course.csv,
attendance_mode_group,Mixed / Other,1046,string,industry_partner_pack_1,demographic_attendance_course.csv,
calendar_year,2021,457,int,industry_partner_pack_1,distinct_course_by_type.csv,
calendar_year,2022,453,int,industry_partner_pack_1,distinct_course_by_type.csv,
calendar_year,2023,444,int,industry_partner_pack_1,distinct_course_by_type.csv,
calendar_year,2024,494,int,industry_partner_pack_1,distinct_course_by_type.csv,
calendar_year,2025,569,int,industry_partner_pack_1,distinct_course_by_type.csv,
calendar_year,2026,575,int,industry_partner_pack_1,distinct_course_by_type.csv,
