teaching_period,student_stage,student_count
Semester 2 - 5 Week D,Continuing,1108
Semester 2 - 6 Week C,Commencing,1213
Semester 2 - 6 Week C,Continuing,4930
Semester 2 - 6 Week D,Commencing,1230
Semester 2 - 6 Week D,Continuing,4962
Session 1,Commencing,1826
Session 1,Continuing,3187
Session 2,Commencing,1313
Session 2,Continuing,3881
Session 3,Commencing,1621
Session 3,Continuing,3794
Session 4,Commencing,1348
Session 4,Continuing,4271
Session-1A,Commencing,629
Session-1A,Continuing,776
Session-1B,Commencing,507
Session-1B,Continuing,824
Session-2A,Commencing,399
Session-2A,Continuing,759
Session-2B,Commencing,259
Session-2B,Continuing,677
Session-3A,Commencing,604
Session-3A,Continuing,824
Session-3B,Commencing,521
Session-3B,Continuing,917
Session-4A,Commencing,418
Session-4A,Continuing,737
Session-4B,Commencing,293
Session-4B,Continuing,681
Summer,Commencing,745
Summer,Continuing,18033
Summer 1,Commencing,6
Summer 1,Continuing,458
Summer 2,Commencing,899
Summer 2,Continuing,1176
